engine,box_position,code,runtime_min
nll_beta,0,3H7O,1.48
nll_beta,0,3HBC,0.658333
nll_beta,0,3HHC,1.981667
nll_beta,0,3HL0,2.953333
nll_beta,0,3HST,1.286667
nll_beta,0,3HTK,1.551667
nll_beta,0,3HTV,1.173333
nll_beta,0,3I38,6.118333
nll_beta,0,3IC8,3.183333
nll_beta,0,3IHU,1.406667
nll_beta,0,3IUG,0.903333
nll_beta,0,3IVB,0.563333
nll_beta,0,3JST,0.726667
nll_beta,0,3JWH,1.38
nll_beta,0,3KFW,0.453333
nll_beta,0,3KGR,0.598333
nll_beta,0,3KKD,2.385
nll_beta,0,3KKE,1.948333
nll_beta,0,3KOL,0.786667
nll_beta,0,3KXR,1.01
nll_beta,0,3KZP,0.773333
nll_beta,0,3L1W,2.738333
nll_beta,0,3L2H,2.92
nll_beta,0,3L6F,0.74
nll_beta,0,3LLI,0.728333
nll_beta,0,3LOC,2.065
nll_beta,0,3LS0,0.291667
nll_beta,0,3LW3,0.736667
nll_beta,0,3M1T,1.661667
nll_beta,0,3M91,0.483333
nll_beta,0,3MB2,1.813333
nll_beta,0,3MKR,1.5
nll_beta,0,3ML3,0.538333
nll_beta,0,3MML,4.303333
nll_beta,0,3MQ2,1.455
nll_beta,0,3MV2,2.39
nll_beta,0,3MYU,2.273333
nll_beta,0,3N39,2.388333
nll_beta,0,3N55,0.706667
nll_beta,0,3N5L,1.328333
nll_beta,0,3N74,1.136667
nll_beta,0,3N9U,1.183333
nll_beta,0,3NJE,1.478333
nll_beta,0,3NO8,1.25
nll_beta,0,3NYY,0.605
nll_beta,0,3OAP,1.078333
nll_beta,0,3OC7,0.966667
nll_beta,0,3OEC,1.815
nll_beta,0,3OFJ,0.361667
nll_beta,0,3OOQ,5.506667
nll_beta,0,3P86,0.88
nll_beta,0,3PFY,0.48
nll_beta,0,3PPU,0.955
nll_beta,0,3PZ8,1.813333
nll_beta,0,3QC1,0.995
nll_beta,0,3QDO,0.228333
nll_beta,0,3QKL,1.475
nll_beta,0,3QLA,1.701667
nll_beta,0,3QNM,0.966667
nll_beta,0,3QTA,0.89
nll_beta,0,3QVJ,2.091667
nll_beta,0,3R0Q,3.943333
nll_beta,0,3R6B,0.48
nll_beta,0,3RAZ,0.763333
nll_beta,0,3RLE,0.653333
nll_beta,0,3RQ4,0.561667
nll_beta,0,3RST,2.625
nll_beta,0,3SF5,2.44
nll_beta,0,3SHW,1.046667
nll_beta,0,3SOL,0.861667
nll_beta,0,3SUZ,0.473333
nll_beta,0,3T0Q,1.033333
nll_beta,0,3T9O,0.953333
nll_beta,0,3TCO,1.121667
nll_beta,0,3THF,1.178333
nll_beta,0,3TIX,2.623333
nll_beta,0,3TSZ,1.136667
nll_beta,0,3TU7,0.433333
nll_beta,0,3TVA,1.145
nll_beta,0,3U1D,1.543333
nll_beta,0,3U2A,0.583333
nll_beta,0,3U66,0.631667
nll_beta,0,3U9L,0.631667
nll_beta,0,3UJ6,0.51
nll_beta,0,3UN9,1.158333
nll_beta,0,3UNG,1.201667
nll_beta,0,3UTN,1.35
nll_beta,0,3UVO,0.551667
nll_beta,0,3V70,0.908333
nll_beta,0,3VD8,0.878333
nll_beta,0,3VEP,0.248333
nll_beta,0,3VFO,1.431667
nll_beta,0,3VFP,0.751667
nll_beta,0,3VHL,1.571667
nll_beta,0,3VPB,3.785
nll_beta,0,3VRJ,0.813333
nll_beta,0,3VSM,1.365
nll_beta,0,3VST,8.473333
nll_beta,0,3VUQ,2.558333
nll_beta,0,3VYN,1.656667
nll_beta,0,3W0L,2.281667
nll_beta,0,3W3T,2.915
nll_beta,0,3W3W,3.043333
nll_beta,0,3W56,0.756667
nll_beta,0,3W8W,1.328333
nll_beta,0,3WNV,2.091667
nll_beta,0,3WTQ,1.231667
nll_beta,0,3WW1,1.991667
nll_beta,0,3X0X,9.09
nll_beta,0,3ZH9,0.79
nll_beta,0,3ZIE,0.858333
nll_beta,0,4AK1,3.086667
nll_beta,0,4ALY,1.441667
nll_beta,0,4AOM,0.321667
nll_beta,0,4AUP,0.471667
nll_beta,0,4B18,0.75
nll_beta,0,4BU1,0.885
nll_beta,0,4BVE,0.615
nll_beta,0,4BX9,2.075
nll_beta,0,4C1S,1.095
nll_beta,0,4C6R,1.955
nll_beta,0,4CE5,3.59
nll_beta,0,4CGB,0.416667
nll_beta,0,4CH9,0.96
nll_beta,0,4CKT,0.37
nll_beta,0,4CLF,2.48
nll_beta,0,4CSO,1.191667
nll_beta,0,4D51,1.481667
nll_beta,0,4DA2,0.853333
nll_beta,0,4DOV,1.181667
nll_beta,0,4EOY,1.325
nll_beta,0,4EWI,0.788333
nll_beta,0,4EX5,2.718333
nll_beta,0,4F0F,0.651667
nll_beta,0,4F27,0.981667
nll_beta,0,4FC4,3.585
nll_beta,0,4FE9,0.836667
nll_beta,0,4FIX,2.08
nll_beta,0,4FYU,1.223333
nll_beta,0,4G3H,1.866667
nll_beta,0,4GMV,0.91
nll_beta,0,4H9D,0.513333
nll_beta,0,4HIA,0.66
nll_beta,0,4HJW,1.723333
nll_beta,0,4HKA,0.716667
nll_beta,0,4HUJ,0.723333
nll_beta,0,4ICH,0.671667
nll_beta,0,4IDI,0.786667
nll_beta,0,4JGX,0.573333
nll_beta,0,4JHN,2.85
nll_beta,0,4JLX,1.771667
nll_beta,0,4JX2,2.398333
nll_beta,0,4K36,1.538333
nll_beta,0,4KH9,1.35
nll_beta,0,4KYQ,0.531667
nll_beta,0,4L7Z,5.086667
nll_beta,0,4L9U,0.31
nll_beta,0,4LD7,8.591667
nll_beta,0,4LZ2,0.973333
